,APMC,Commodity,arrivals_in_qtl,min_price,max_price,modal_price,date,district_name
6701,AMARAWATI,AMBA KOY,435,3250.0,4250.0,3750.0,2016-06-01,AMARAVATHI
41192,PUNE-MANJRI,AMBAT CHUKA,12,180.0,1440.0,270.0,2014-12-01,PUNE
42072,PUNE-MANJRI,AMBAT CHUKA,4,180.0,1350.0,270.0,2015-01-01,PUNE
41622,PUNE-MANJRI,AMBAT CHUKA,10,180.0,1221.0,270.0,2015-02-01,PUNE
43533,PUNE-MANJRI,AMBAT CHUKA,11,180.0,1300.0,270.0,2015-03-01,PUNE
40198,PUNE-MANJRI,AMBAT CHUKA,29,162.0,1696.0,196.0,2015-04-01,PUNE
43983,PUNE-MANJRI,AMBAT CHUKA,2,162.0,1500.0,196.0,2015-05-01,PUNE
42543,PUNE-MANJRI,AMBAT CHUKA,26,200.0,925.0,400.0,2015-07-01,PUNE
45706,PUNE-MANJRI,AMBAT CHUKA,11,100.0,2010.0,225.0,2015-09-01,PUNE
40199,PUNE-MANJRI,AMBAT CHUKA,17,129.0,1286.0,193.0,2016-04-01,PUNE
43984,PUNE-MANJRI,AMBAT CHUKA,39,129.0,1326.0,193.0,2016-05-01,PUNE
35053,NASHIK-DEVLALI,AMBAT CHUKA,17,163.0,413.0,263.0,2016-07-01,NASIK
42544,PUNE-MANJRI,AMBAT CHUKA,50,388.0,1069.0,388.0,2016-07-01,PUNE
33950,NASHIK-DEVLALI,AMBAT CHUKA,61,166.0,346.0,264.0,2016-08-01,NASIK
40696,PUNE-MANJRI,AMBAT CHUKA,39,875.0,950.0,888.0,2016-08-01,PUNE
36844,NASHIK-DEVLALI,AMBAT CHUKA,12,150.0,400.0,300.0,2016-09-01,NASIK
36448,NASHIK-DEVLALI,AMBAT CHUKA,40,360.0,647.0,506.0,2016-10-01,NASIK
61963,PUNE-MANJRI,AMBAT CHUKA,35,815.0,939.0,859.0,2016-11-01,PUNE
21054,JALGAON,AMLA,12,1100.0,1800.0,1400.0,2014-09-01,JALGAON
20526,JALGAON,AMLA,140,1215.0,1925.0,1560.0,2014-11-01,JALGAON
30350,KAMTHI,AMLA,1,1200.0,2000.0,1600.0,2014-11-01,NAGPUR
19205,JALGAON,AMLA,179,1200.0,1732.0,1468.0,2014-12-01,JALGAON
27946,KAMTHI,AMLA,1,600.0,3000.0,1800.0,2014-12-01,NAGPUR
19601,JALGAON,AMLA,26,1450.0,1525.0,1475.0,2015-01-01,JALGAON
